❤️湖北组播,#genre#
CCTV6,http://27.24.44.162:8899/udp/239.69.1.124:10382
CCTV7,http://27.24.44.162:8899/udp/239.69.1.103:10256
CCTV8,http://27.24.44.162:8899/udp/239.69.1.125:10388
CCTV9,http://27.24.44.162:8899/udp/239.69.1.104:10262
CCTV10,http://27.24.44.162:8899/udp/239.69.1.105:10268
CCTV11,http://27.24.44.162:8899/udp/239.69.1.154:10560
CCTV12,http://27.24.44.162:8899/udp/239.69.1.106:10274
CCTV13,http://27.24.44.162:8899/udp/239.254.104.161:9040
CCTV14,http://27.24.44.162:8899/udp/239.69.1.107:10280
CCTV15,http://27.24.44.162:8899/udp/239.69.1.155:10566
CCTV16-4K,http://27.24.44.162:8899/udp/239.69.1.249:11136
CCTV16,http://27.24.44.162:8899/udp/239.69.1.247:11124
CCTV17,http://27.24.44.162:8899/udp/239.69.1.152:10548
CGTN,http://27.24.44.162:8899/udp/239.254.104.175:9124
湖北卫视,http://27.24.44.162:8899/udp/239.254.104.115:8664
湖北经视,http://27.24.44.162:8899/udp/239.69.1.41:9886
湖北综合,http://27.24.44.162:8899/udp/239.69.1.42:9892
湖北垄上,http://27.24.44.162:8899/udp/239.69.1.43:9898
湖北公共,http://27.24.44.162:8899/udp/239.69.1.40:9880
湖北影视,http://27.24.44.162:8899/udp/239.69.1.204:10866
湖北教育,http://27.24.44.162:8899/udp/239.69.1.206:10878
湖北生活,http://27.24.44.162:8899/udp/239.69.1.205:10872
湖南卫视,http://27.24.44.162:8899/udp/239.254.104.139:8908
浙江卫视,http://27.24.44.162:8899/udp/239.254.104.143:8932
江苏卫视,http://27.24.44.162:8899/udp/239.254.104.144:8938
东方卫视,http://27.24.44.162:8899/udp/239.254.104.142:8926
北京卫视,http://27.24.44.162:8899/udp/239.254.104.141:8920
广东卫视,http://27.24.44.162:8899/udp/239.254.104.140:8914
深圳卫视,http://27.24.44.162:8899/udp/239.254.104.137:8896
黑龙江卫视,http://27.24.44.162:8899/udp/239.254.104.138:8902
天津卫视,http://27.24.44.162:8899/udp/239.69.1.68:10048
山东卫视,http://27.24.44.162:8899/udp/239.69.1.69:10054
安徽卫视,http://27.24.44.162:8899/udp/239.69.1.70:10060
辽宁卫视,http://27.24.44.162:8899/udp/239.69.1.71:10066
东南卫视,http://27.24.44.162:8899/udp/239.69.1.108:10286
江西卫视,http://27.24.44.162:8899/udp/239.69.1.126:10394
重庆卫视,http://27.24.44.162:8899/udp/239.69.1.149:10530
贵州卫视,http://27.24.44.162:8899/udp/239.69.1.150:10536
河南卫视,http://27.24.44.162:8899/udp/239.69.1.168:10644
四川卫视,http://27.24.44.162:8899/udp/239.69.1.169:10650
河北卫视,http://27.24.44.162:8899/udp/239.69.1.157:10578
海南卫视,http://27.24.44.162:8899/udp/239.69.1.151:10542
金鹰纪实,http://27.24.44.162:8899/udp/239.69.1.109:10292
纪实人文,http://27.24.44.162:8899/udp/239.254.104.252:9592
中国教育1,http://27.24.44.162:8899/udp/239.69.1.110:10298
IPTV5,http://27.24.44.162:8899/udp/239.69.1.117:10340
体育赛事,http://27.24.44.162:8899/udp/239.69.1.172:10668
爱上4K,http://27.24.44.162:8899/udp/239.69.1.141:10482
CCTV1,http://27.24.44.162:8899/udp/239.254.104.3:7992
CCTV2,http://27.24.44.162:8899/udp/239.254.104.154:8998
CCTV4,http://27.24.44.162:8899/udp/239.254.104.155:9004
CCTV5+,http://27.24.44.162:8899/udp/239.254.104.99:8568
CCTV7,http://27.24.44.162:8899/udp/239.254.104.156:9130
CCTV9,http://27.24.44.162:8899/udp/239.254.104.157:9016
CCTV10,http://27.24.44.162:8899/udp/239.254.104.158:9022
CCTV11,http://27.24.44.162:8899/udp/239.254.104.9:8028
CCTV12,http://27.24.44.162:8899/udp/239.254.104.160:9034
CCTV13,http://27.24.44.162:8899/udp/239.254.104.11:8040
CCTV14,http://27.24.44.162:8899/udp/239.254.104.162:9046
CCTV15,http://27.24.44.162:8899/udp/239.254.104.13:8052
CCTV17,http://27.24.44.162:8899/udp/239.69.1.153:10554
湖北卫视,http://27.24.44.162:8899/udp/239.254.104.1:7980
湖北经视,http://27.24.44.162:8899/udp/239.254.104.178:9148
湖北综合,http://27.24.44.162:8899/udp/239.254.104.177:9142
湖北垄上,http://27.24.44.162:8899/udp/239.254.104.184:9184
湖北公共,http://27.24.44.162:8899/udp/239.254.104.179:9154
湖北影视,http://27.24.44.162:8899/udp/239.254.104.182:9172
湖北教育,http://27.24.44.162:8899/udp/239.254.104.180:9160
湖北生活,http://27.24.44.162:8899/udp/239.254.104.181:9166
武汉新闻,http://27.24.44.162:8899/udp/239.69.1.145:10506
武汉电视剧,http://27.24.44.162:8899/udp/239.69.1.146:10512
武汉生活,http://27.24.44.162:8899/udp/239.69.1.251:11148
武汉经济,http://27.24.44.162:8899/udp/239.69.1.3:9658
武汉文体,http://27.24.44.162:8899/udp/239.69.1.147:10518
武汉外语,http://27.24.44.162:8899/udp/239.69.1.5:9670
武汉少儿,http://27.24.44.162:8899/udp/239.69.1.6:9676
武汉教育,http://27.24.44.162:8899/udp/239.69.1.60:9994
CHC高清电影,http://27.24.44.162:8899/udp/239.69.1.241:11088
CHC动作电影,http://27.24.44.162:8899/udp/239.69.1.242:11094
CHC家庭影院,http://27.24.44.162:8899/udp/239.69.1.243:11100
湖南卫视,http://27.24.44.162:8899/udp/239.254.104.15:8064
浙江卫视,http://27.24.44.162:8899/udp/239.254.104.18:8082
江苏卫视,http://27.24.44.162:8899/udp/239.254.104.17:8076
东方卫视,http://27.24.44.162:8899/udp/239.254.104.2:7986
北京卫视,http://27.24.44.162:8899/udp/239.254.104.16:8070
广东卫视,http://27.24.44.162:8899/udp/239.254.104.22:8106
深圳卫视,http://27.24.44.162:8899/udp/239.254.104.34:8178
黑龙江卫视,http://27.24.44.162:8899/udp/239.254.104.92:8526
天津卫视,http://27.24.44.162:8899/udp/239.254.104.29:8148
山东卫视,http://27.24.44.162:8899/udp/239.254.104.21:8100
安徽卫视,http://27.24.44.162:8899/udp/239.254.104.20:8094
辽宁卫视,http://27.24.44.162:8899/udp/239.254.104.19:8088
宁夏卫视,http://27.24.44.162:8899/udp/239.254.104.97:8556
广西卫视,http://27.24.44.162:8899/udp/239.254.104.23:8112
海南卫视,http://27.24.44.162:8899/udp/239.254.104.24:8118
重庆卫视,http://27.24.44.162:8899/udp/239.254.104.25:8124
东南卫视,http://27.24.44.162:8899/udp/239.254.104.26:8130
江西卫视,http://27.24.44.162:8899/udp/239.254.104.27:8136
河南卫视,http://27.24.44.162:8899/udp/239.254.104.28:8142
四川卫视,http://27.24.44.162:8899/udp/239.254.104.90:8514
吉林卫视,http://27.24.44.162:8899/udp/239.254.104.91:8520
山西卫视,http://27.24.44.162:8899/udp/239.254.104.93:8532
云南卫视,http://27.24.44.162:8899/udp/239.254.104.30:8154
贵州卫视,http://27.24.44.162:8899/udp/239.254.104.31:8160
西藏卫视,http://27.24.44.162:8899/udp/239.254.104.35:8184
内蒙古卫视,http://27.24.44.162:8899/udp/239.254.104.41:8220
新疆卫视,http://27.24.44.162:8899/udp/239.254.104.47:8256
兵团卫视,http://27.24.44.162:8899/udp/239.254.104.48:8262
青海卫视,http://27.24.44.162:8899/udp/239.254.104.95:8544
河北卫视,http://27.24.44.162:8899/udp/239.254.104.185:9190
陕西卫视,http://27.24.44.162:8899/udp/239.254.104.186:9196
甘肃卫视,http://27.24.44.162:8899/udp/239.254.104.187:9202
三沙卫视,http://27.24.44.162:8899/udp/239.69.1.171:10662
卡酷动画,http://27.24.44.162:8899/udp/239.254.104.188:9208
金鹰卡通,http://27.24.44.162:8899/udp/239.254.104.189:9214
都市剧场,http://27.24.44.162:8899/udp/239.254.104.33:8172
生活时尚,http://27.24.44.162:8899/udp/239.254.104.49:8268
动漫秀场,http://27.24.44.162:8899/udp/239.254.104.36:8190
哈哈炫动,http://27.24.44.162:8899/udp/239.254.104.14:8058
嘉佳卡通,http://27.24.44.162:8899/udp/239.254.104.136:8890
全纪实,http://27.24.44.162:8899/udp/239.254.104.38:8202
法治天地,http://27.24.44.162:8899/udp/239.254.104.39:8208
七彩戏剧,http://27.24.44.162:8899/udp/239.254.104.40:8214
游戏风云,http://27.24.44.162:8899/udp/239.254.104.43:8232
中国天气,http://27.24.44.162:8899/udp/239.254.104.94:8538
纪实人文,http://27.24.44.162:8899/udp/239.254.104.251:9586
休闲指南,http://27.24.44.162:8899/udp/239.254.104.213:9358
武术世界,http://27.24.44.162:8899/udp/239.254.104.191:9226
环球奇观,http://27.24.44.162:8899/udp/239.254.104.192:9232
国学频道,http://27.24.44.162:8899/udp/239.254.104.194:9244
DV生活,http://27.24.44.162:8899/udp/239.254.104.196:9256
游戏竞技,http://27.24.44.162:8899/udp/239.254.104.197:9262
早期教育,http://27.24.44.162:8899/udp/239.254.104.199:9274
梨园,http://27.24.44.162:8899/udp/239.254.104.206:9316
卫生健康,http://27.24.44.162:8899/udp/239.254.104.207:9322
靓妆,http://27.24.44.162:8899/udp/239.254.104.208:9328
熊猫频道,http://27.24.44.162:8899/udp/239.69.1.127:10400
极速汽车,http://27.24.44.162:8899/udp/239.254.104.44:8238
怀旧剧场,http://27.24.44.162:8899/udp/239.69.1.89:10174
风云音乐,http://27.24.44.162:8899/udp/239.69.1.90:10180
快乐垂钓,http://27.24.44.162:8899/udp/239.69.1.142:10488
先锋乒羽,http://27.24.44.162:8899/udp/239.69.1.143:10494
风云足球,http://27.24.44.162:8899/udp/239.69.1.81:10126
汽摩,http://27.24.44.162:8899/udp/239.69.1.84:10144
老故事,http://27.24.44.162:8899/udp/239.69.1.85:10150
兵器科技,http://27.24.44.162:8899/udp/239.69.1.79:10114
茶,http://27.24.44.162:8899/udp/239.69.1.144:10500
世界地理,http://27.24.44.162:8899/udp/239.69.1.91:10186
高尔夫网球,http://27.24.44.162:8899/udp/239.69.1.83:10138
第一剧场,http://27.24.44.162:8899/udp/239.69.1.74:10084
央视台球,http://27.24.44.162:8899/udp/239.69.1.98:10224
网络棋牌,http://27.24.44.162:8899/udp/239.69.1.186:10758
新动漫,http://27.24.44.162:8899/udp/239.69.1.187:10764
女性时尚,http://27.24.44.162:8899/udp/239.69.1.86:10156
书画,http://27.24.44.162:8899/udp/239.69.1.189:10776
IPTV相声小品,http://27.24.44.162:8899/udp/239.254.104.214:9364
热播剧场,http://27.24.44.162:8899/udp/239.254.104.215:9370
经典电影,http://27.24.44.162:8899/udp/239.254.104.216:9376
魅力时尚,http://27.24.44.162:8899/udp/239.254.104.217:9382
少儿动画,http://27.24.44.162:8899/udp/239.254.104.220:9400
IPTV3+,http://27.24.44.162:8899/udp/239.254.104.219:9394
IPTV5+,http://27.24.44.162:8899/udp/239.254.104.221:9406
IPTV6+,http://27.24.44.162:8899/udp/239.254.104.218:9388
IPTV8+,http://27.24.44.162:8899/udp/239.254.104.222:9412
IPTV足球频道,http://27.24.44.162:8899/udp/239.69.1.116:10334
爱生活,http://27.24.44.162:8899/udp/239.69.1.176:10692
直播室101,http://27.24.44.162:8899/udp/239.69.1.24:9784
直播室102,http://27.24.44.162:8899/udp/239.69.1.25:9790
直播室103,http://27.24.44.162:8899/udp/239.69.1.26:9796
直播室104,http://27.24.44.162:8899/udp/239.69.1.27:9802
直播室105,http://27.24.44.162:8899/udp/239.69.1.28:9808
直播室106,http://27.24.44.162:8899/udp/239.69.1.29:9814
直播室107,http://27.24.44.162:8899/udp/239.69.1.30:9820
直播室201,http://27.24.44.162:8899/udp/239.254.104.101:8580
直播室202,http://27.24.44.162:8899/udp/239.254.104.102:8586
直播室203,http://27.24.44.162:8899/udp/239.254.104.103:8592
直播室204,http://27.24.44.162:8899/udp/239.254.104.104:8598
直播室205,http://27.24.44.162:8899/udp/239.254.104.107:8616
直播室206,http://27.24.44.162:8899/udp/239.254.104.108:8622
直播室207,http://27.24.44.162:8899/udp/239.254.104.110:8634
测试频道1,http://27.24.44.162:8899/udp/239.69.1.177:10698
中甲联赛,http://27.24.44.162:8899/udp/239.69.1.190:10782
CCTV1,http://27.24.44.162:8899/udp/239.254.96.96:8550
CCTV13,http://27.24.44.162:8899/udp/239.254.96.161:9040
CGTN英语,http://27.24.44.162:8899/udp/239.254.96.175:9124
CGTN纪录,http://27.24.44.162:8899/udp/239.69.1.233:11040
湖北卫视,http://27.24.44.162:8899/udp/239.254.96.115:8664
湖南卫视,http://27.24.44.162:8899/udp/239.254.96.139:8908
浙江卫视,http://27.24.44.162:8899/udp/239.254.96.143:8932
江苏卫视,http://27.24.44.162:8899/udp/239.254.96.144:8938
北京卫视,http://27.24.44.162:8899/udp/239.254.96.141:8920
东方卫视,http://27.24.44.162:8899/udp/239.254.96.142:8926
广东卫视,http://27.24.44.162:8899/udp/239.254.96.140:8914
深圳卫视,http://27.24.44.162:8899/udp/239.254.96.137:8896
广西卫视,http://27.24.44.162:8899/udp/239.69.1.191:10788
黑龙江卫视,http://27.24.44.162:8899/udp/239.254.96.138:8902
吉林卫视,http://27.24.44.162:8899/udp/239.69.1.212:10914
内蒙古卫视,http://27.24.44.162:8899/udp/239.254.96.41:8220
宁夏卫视,http://27.24.44.162:8899/udp/239.254.96.97:8556
山西卫视,http://27.24.44.162:8899/udp/239.254.96.93:8532
陕西卫视,http://27.24.44.162:8899/udp/239.254.96.186:9196
新疆卫视,http://27.24.44.162:8899/udp/239.254.96.47:8256
云南卫视,http://27.24.44.162:8899/udp/239.254.96.30:8154
青海卫视,http://27.24.44.162:8899/udp/239.254.96.95:8544
兵团卫视,http://27.24.44.162:8899/udp/239.254.96.48:8262
卡酷动画,http://27.24.44.162:8899/udp/239.254.96.188:9208
金鹰卡通,http://27.24.44.162:8899/udp/239.69.1.248:11130


❤️武汉组播,#genre#
CCTV4K,http://219.140.210.177:4022/rtp/239.69.1.12:9712
CCTV1综合,http://219.140.210.177:4022/rtp/239.254.96.96:8550
CCTV2财经,http://219.140.210.177:4022/rtp/239.69.1.102:10250
CCTV3综艺,http://219.140.210.177:4022/rtp/239.69.1.122:10370
CCTV4中文国际,http://219.140.210.177:4022/rtp/239.69.1.138:10466
CCTV5体育,http://219.140.210.177:4022/rtp/239.69.1.123:10376
CCTV5+体育赛事,http://219.140.210.177:4022/rtp/239.254.96.234:9484
CCTV6电影,http://219.140.210.177:4022/rtp/239.69.1.124:10382
CCTV7国防军事,http://219.140.210.177:4022/rtp/239.69.1.103:10256
CCTV8电视剧,http://219.140.210.177:4022/rtp/239.69.1.125:10388
CCTV9记录,http://219.140.210.177:4022/rtp/239.69.1.104:10262
CCTV10科教,http://219.140.210.177:4022/rtp/239.69.1.105:10268
CCTV11戏曲,http://219.140.210.177:4022/rtp/239.69.1.154:10560
CCTV12社会与法,http://219.140.210.177:4022/rtp/239.69.1.106:10274
CCTV13新闻,http://219.140.210.177:4022/rtp/239.254.96.161:9040
CCTV14少儿,http://219.140.210.177:4022/rtp/239.69.1.107:10280
CCTV15音乐,http://219.140.210.177:4022/rtp/239.69.1.155:10566
CCTV16奥林匹克-4K,http://219.140.210.177:4022/rtp/239.69.1.249:11136
CCTV16奥林匹克,http://219.140.210.177:4022/rtp/239.69.1.247:11124
CCTV17农业农村,http://219.140.210.177:4022/rtp/239.69.1.152:10548
CCTV第一剧场,http://219.140.210.177:4022/rtp/239.69.1.74:10084
CCTV兵器科技,http://219.140.210.177:4022/rtp/239.69.1.79:10114
CCTV世界地理,http://219.140.210.177:4022/rtp/239.69.1.91:10186
CCTV风云足球,http://219.140.210.177:4022/rtp/239.69.1.81:10126
CCTV高尔夫网球,http://219.140.210.177:4022/rtp/239.69.1.83:10138
CCTV央视台球,http://219.140.210.177:4022/rtp/239.69.1.98:10224
中文国际欧洲,http://219.140.210.177:4022/rtp/239.69.1.231:11028
中文国际美洲,http://219.140.210.177:4022/rtp/239.69.1.232:11034
CGTN记录片,http://219.140.210.177:4022/rtp/239.69.1.233:11040
湖南卫视,http://219.140.210.177:4022/rtp/239.254.96.139:8908
东方卫视,http://219.140.210.177:4022/rtp/239.254.96.142:8926
东方卫视(备),http://219.140.210.177:4022/rtp/239.69.1.173:10674
浙江卫视,http://219.140.210.177:4022/rtp/239.254.96.143:8932
江苏卫视,http://219.140.210.177:4022/rtp/239.254.96.144:8938
江苏卫视(备),http://219.140.210.177:4022/rtp/239.69.1.174:10680
北京卫视,http://219.140.210.177:4022/rtp/239.254.96.141:8920
辽宁卫视,http://219.140.210.177:4022/rtp/239.69.1.71:10066
广东卫视,http://219.140.210.177:4022/rtp/239.254.96.140:8914
天津卫视,http://219.140.210.177:4022/rtp/239.69.1.68:10048
湖北卫视,http://219.140.210.177:4022/rtp/239.254.96.115:8664
山东卫视,http://219.140.210.177:4022/rtp/239.69.1.69:10054
安徽卫视,http://219.140.210.177:4022/rtp/239.69.1.70:10060
深圳卫视,http://219.140.210.177:4022/rtp/239.254.96.137:8896
黑龙江卫视,http://219.140.210.177:4022/rtp/239.254.96.138:8902
东南卫视,http://219.140.210.177:4022/rtp/239.69.1.108:10286
江西卫视,http://219.140.210.177:4022/rtp/239.69.1.126:10394
重庆卫视,http://219.140.210.177:4022/rtp/239.69.1.149:10530
贵州卫视,http://219.140.210.177:4022/rtp/239.69.1.150:10536
河北卫视,http://219.140.210.177:4022/rtp/239.254.96.113:9616
河北卫视(备),http://219.140.210.177:4022/rtp/239.69.1.157:10578
海南卫视,http://219.140.210.177:4022/rtp/239.69.1.151:10542
河南卫视,http://219.140.210.177:4022/rtp/239.69.1.168:10644
四川卫视,http://219.140.210.177:4022/rtp/239.69.1.169:10650
广西卫视,http://219.140.210.177:4022/rtp/239.69.1.191:10788
吉林卫视,http://219.140.210.177:4022/rtp/239.69.1.212:10914
爱上4K,http://219.140.210.177:4022/rtp/239.69.1.141:10482
CHC-高清电影,http://219.140.210.177:4022/rtp/239.69.1.241:11088
CHC-动作电影,http://219.140.210.177:4022/rtp/239.69.1.242:11094
CHC-家庭影院,http://219.140.210.177:4022/rtp/239.69.1.243:11100
武汉新闻综合,http://219.140.210.177:4022/rtp/239.69.1.145:10506
武汉电视剧,http://219.140.210.177:4022/rtp/239.69.1.146:10512
武汉科技生活,http://219.140.210.177:4022/rtp/239.69.1.251:11148
武汉经济,http://219.140.210.177:4022/rtp/239.69.1.35:9850
武汉文体,http://219.140.210.177:4022/rtp/239.69.1.147:10518
武汉外语,http://219.140.210.177:4022/rtp/239.69.1.36:9856
武汉教育,http://219.140.210.177:4022/rtp/239.69.1.60:9994
湖北公共新闻,http://219.140.210.177:4022/rtp/239.69.1.40:9880
湖北经视,http://219.140.210.177:4022/rtp/239.69.1.41:9886
湖北综合,http://219.140.210.177:4022/rtp/239.69.1.42:9892
湖北垄上,http://219.140.210.177:4022/rtp/239.69.1.43:9898
湖北影视,http://219.140.210.177:4022/rtp/239.69.1.204:10866
湖北生活,http://219.140.210.177:4022/rtp/239.69.1.205:10872
湖北教育,http://219.140.210.177:4022/rtp/239.69.1.206:10878
BestTV测试1-4K,http://219.140.210.177:4022/rtp/239.69.1.26:9796
BestTV测试2-4K,http://219.140.210.177:4022/rtp/239.69.1.27:9802
BestTV测试3-4K,http://219.140.210.177:4022/rtp/239.69.1.25:9790
卡酷少儿,http://219.140.210.177:4022/rtp/239.69.1.193:10800
梨园频道,http://219.140.210.177:4022/rtp/239.69.1.33:9838
武术世界,http://219.140.210.177:4022/rtp/239.69.1.47:9922
快乐垂钓,http://219.140.210.177:4022/rtp/239.69.1.142:10488
茶频道,http://219.140.210.177:4022/rtp/239.69.1.144:10500
金鹰卡通,http://219.140.210.177:4022/rtp/239.69.1.248:11130
金鹰纪实,http://219.140.210.177:4022/rtp/239.69.1.109:10292
CETV1,http://219.140.210.177:4022/rtp/239.69.1.110:10298




❤️广东组播,#genre#
凤凰中文HD,http://118.122.97.214:8888/udp/239.93.0.162:2192
凤凰中文HD,http://hjb.mba:8888/udp/239.93.0.162:2192
凤凰中文HD,http://hzz.pub:8888/udp/239.93.0.162:2192
凤凰中文HD,http://jd.cxctu.cf:4000/udp/239.93.0.162:2192
凤凰资讯HD,http://118.122.97.214:8888/udp/239.93.0.118:2191
凤凰资讯HD,http://hjb.mba:8888/udp/239.93.0.118:2191
凤凰资讯HD,http://hzz.pub:8888/udp/239.93.0.118:2191
凤凰资讯HD,http://jd.cxctu.cf:4000/udp/239.93.0.118:2191

CCTV-1,http://58.61.148.28:8088/udp/239.77.1.17:5146
CCTV-1,http://58.61.148.28:8088/udp/239.77.1.144:5146
CCTV-1,http://58.61.148.28:8088/udp/239.77.0.86:5146
CCTV-1,http://58.61.148.28:8088/udp/239.77.0.129:5146
CCTV-2,http://58.61.148.28:8088/udp/239.77.1.158:5146
CCTV-2,http://58.61.148.28:8088/udp/239.253.43.17:5146
CCTV-2,http://58.61.148.28:8088/udp/239.77.0.137:5146
CCTV-3,http://58.61.148.28:8088/udp/239.77.0.169:5146
CCTV-3,http://58.61.148.28:8088/udp/239.77.0.175:5146
CCTV-4,http://58.61.148.28:8088/udp/239.77.1.163:5146
